Designator,Mid X,Mid Y,Rotation,Layer
AUX_FLEX1,54.69259328752538,45.25982171247462,315.0,bottom
C1,50.538338,39.161025,315.0,bottom
C2,49.371616,40.327752,315.0,bottom
C3,60.791384,49.414077,135.0,bottom
C4,59.624666,50.580801,135.0,bottom
FLEX_MORRO1,44.51941628752538,55.56784571247462,315.0,bottom
MUX1,37.667552,48.836188,225.0,bottom
MUX2,51.187435,62.447989,225.0,bottom
R1,5.427264,19.486983,135.0,bottom
R10,31.095243,57.175771,135.0,bottom
R11,33.357984,50.811808,315.0,bottom
R12,37.67134,57.10506,315.0,bottom
R13,42.903923,68.984453,135.0,bottom
R14,42.974637,62.408359,315.0,bottom
R15,49.197173,66.651002,315.0,bottom
R16,55.490426,77.469732,135.0,bottom
R17,55.490431,70.964353,315.0,bottom
R18,61.712964,75.206997,315.0,bottom
R19,68.006218,86.02573,135.0,bottom
R2,7.690013,13.12302,315.0,bottom
R20,68.006218,79.520343,315.0,bottom
R21,74.299468,83.833697,315.0,bottom
R22,80.59272,94.652428,135.0,bottom
R23,80.663433,88.076338,315.0,bottom
R24,86.885972,92.318978,315.0,bottom
R3,12.003363,19.416268,315.0,bottom
R4,13.98326,32.002769,135.0,bottom
R5,16.316715,25.709522,315.0,bottom
R6,20.488641,32.002767,315.0,bottom
R7,22.539255,44.518556,135.0,bottom
R8,24.801996,38.296017,315.0,bottom
R9,29.044637,44.518555,315.0,bottom
S1,5.515409,15.262754,315.0,bottom
S10,47.075614,68.808414,315.0,bottom
S11,53.333502,73.086411,315.0,bottom
S12,59.609078,77.346727,315.0,bottom
S13,65.902329,81.624727,315.0,bottom
S14,72.1779,85.920399,315.0,bottom
S15,78.453472,90.180718,315.0,bottom
S16,84.746717,94.458716,315.0,bottom
S2,9.811079,21.538326,315.0,bottom
S3,14.124434,27.831576,315.0,bottom
S4,18.367076,34.124827,315.0,bottom
S5,22.662746,40.400398,315.0,bottom
S6,26.940744,46.658295,315.0,bottom
S7,31.23642,52.969223,315.0,bottom
S8,35.496737,59.244795,315.0,bottom
S9,40.782353,64.530421,315.0,bottom
